id,category,question,answer
994,Fundamental Principles,What unit is commonly used to evaluate the ventilation rate in a building?,Air Changes Per Hour (ACH).
995,Water & Wastewater,What phenomenon drives infiltration at the base and exfiltration at the top of a building due to temperature differences?,The stack effect.
996,Fundamental Principles,What international treaty on climate change entered into force on 21 March 1994?,UNFCCC.
997,Mathematics,Which 1997 international treaty mandated industrialized countries to limit and reduce GHG emissions?,The Kyoto Protocol.
998,Mathematics,Which 2015 agreement aims to limit global temperature increase to 1.5°C above pre-industrial levels?,The Paris Agreement.
999,Fundamental Principles,"What represent the ""Three T's"" required to ensure efficient combustion in an incinerator?","Time, Temperature, and Turbulence"
1000,Energy & Environment,"In thermodynamics, which property serves as a measure of molecular disorder or unavailable energy?",Entropy
1001,Probability & Statistics,Which mode of heat transfer occurs primarily through the mixing or bulk motion of a fluid?,Convection
1002,Air Quality & Control,What term describes the air supplied to a combustion process that exceeds the theoretical stoichiometric requirement?,Excess air
1003,Energy & Environment,Which type of thermodynamic system allows energy to cross its boundary but prevents the transfer of mass?,Closed system
1004,Thermodynamics,"What is the main difference between a ""cradle-to-gate"" and a ""cradle-to-grave"" lifecycle analysis?",It excludes the product usage and disposal phases
1005,Thermodynamics,What is the method of heat transfer that occurs via electromagnetic waves and requires no physical medium?,Radiation
1006,Fundamental Principles,Is specific gravity considered an intensive or an extensive thermodynamic property?,Intensive property
1007,Mathematics,Which water conservation technique delivers water at low pressure directly to crop roots via plastic tubing?,Drip irrigation
1008,Environmental Chemistry,What term generally describes the rapid oxidation of a fuel accompanied by the release of heat and light?,Combustion
1009,Fundamental Principles,"In the context of combustion, what does the acronym POHC stand for?",Principal Organic Hazardous Constituent
1010,Environmental Chemistry,Which law states that mass is neither created nor destroyed in a chemical reaction?,Law of Conservation of Mass
1011,Air Quality & Control,What is the term for the temperature at which a liquid gives off sufficient vapor to form an ignitable mixture with air?,Flash point
1012,Probability & Statistics,"In a Gaussian plume model, what does the variable ""H"" typically represent?",Effective stack height
1013,Thermodynamics,What implies a negative enthalpy change in a chemical reaction?,Exothermic reaction
1014,Fundamental Principles,Which thermodynamic property is defined as the measure of the disorder of a system?,Entropy
1015,Fundamental Principles,What is the primary component of natural gas used in combustion calculations?,Methane
1016,Probability & Statistics,What term describes the ratio of the mass of water vapor to the mass of dry air in a sample?,Humidity ratio
1017,Air Quality & Control,"In stoichiometry, what represents the exact theoretical amount of air needed for complete combustion?",Stoichiometric air
1018,Fundamental Principles,What is the main difference between Higher Heating Value (HHV) and Lower Heating Value (LHV)?,Latent heat of vaporization of water
1019,Fluid Mechanics & Hydraulics,Which dimensionless number is used to predict whether fluid flow is laminar or turbulent?,Reynolds number
1020,Environmental Chemistry,What is the term for the rapid oxidation of fuel accompanied by heat and light?,Combustion
1021,Air Quality & Control,"In air pollution control, what does DRE stand for?",Destruction and Removal Efficiency
1022,Fundamental Principles,"What are the ""Three Ts"" of good combustion?","Time, Temperature, and Turbulence"
1023,Fundamental Principles,"Which law describes the relationship between pressure, volume, and temperature for an ideal gas?",Ideal Gas Law
1024,Air Quality & Control,What is the term for air supplied to a combustion process in addition to the stoichiometric requirement?,Excess air
1025,Water & Wastewater,"In water quality, what does BOD stand for?",Biochemical Oxygen Demand
1026,Energy & Environment,Which type of system allows energy to cross its boundary but not mass?,Closed system
1027,Solid & Hazardous Waste,What is the term for the solid residue remaining after combustion or incineration?,Ash
1028,Fundamental Principles,Which gas law states that the total pressure of a gas mixture is the sum of the partial pressures?,Dalton's Law
1029,Environmental Chemistry,What is the definition of pH?,Negative logarithm of hydrogen ion concentration
1030,Fundamental Principles,Which property of a fluid represents its internal resistance to flow?,Viscosity
1031,Solid & Hazardous Waste,"In a landfill, what gas is primarily produced during the anaerobic decomposition phase?",Methane
1032,Environmental Chemistry,"What is the term for the layer of the atmosphere where temperature increases with altitude, trapping pollutants?",Inversion layer
1033,Thermodynamics,Which heat transfer mechanism involves the bulk motion of a fluid?,Convection
1034,Fundamental Principles,What is the term for the maximum concentration of a solute that can dissolve in a solvent at a given temperature?,Solubility
1035,Environmental Chemistry,"In stoichiometry, what is the reactant that is completely consumed first called?",Limiting reactant
1036,Fluid Mechanics & Hydraulics,What does the Reynolds number represent the ratio of?,Inertial forces to viscous forces
1037,Fluid Mechanics & Hydraulics,What is the standard unit for dynamic viscosity in the metric system?,Poise
1038,Thermodynamics,Which thermodynamic cycle is the theoretical basis for steam power plants?,Rankine cycle
1039,Energy & Environment,What is the term for the energy required to raise the temperature of a unit mass of a substance by one degree?,Specific heat
1040,Groundwater/Soils/Sediments,"In groundwater flow, which law relates flow rate to hydraulic gradient and hydraulic conductivity?",Darcy's Law
1041,Environmental Chemistry,What is the term for the breakdown of organic matter by microorganisms in the absence of oxygen?,Anaerobic digestion
1042,Water & Wastewater,What does COD stand for in water quality testing?,Chemical Oxygen Demand
1043,Fundamental Principles,"Which compound is the primary contributor to the ""greenhouse effect""?",Carbon dioxide
1044,Environmental Chemistry,What is the term for the physical separation of suspended solids from water by gravity?,Sedimentation
1045,Solid & Hazardous Waste,"In incineration, what is ""residence time""?",The duration gases remain in the combustion zone
1046,Fundamental Principles,What is the term for a mixture of gases where the components do not react with each other?,Ideal gas mixture
1047,Fundamental Principles,Which acid is primarily associated with acid rain formation from coal combustion?,Sulfuric acid
1048,Air Quality & Control,What is the term for the lowest concentration of a gas in air capable of producing a flash of fire?,Lower Explosive Limit (LEL)
1049,Probability & Statistics,"What does the term ""adiabatic"" mean in thermodynamics?",No heat transfer
1050,Air Quality & Control,"In a cyclone separator, what force is primarily used to remove particulates?",Centrifugal force
1051,Probability & Statistics,What is the term for the ratio of the volume of voids to the total volume of a soil or rock sample?,Porosity
1052,Solid & Hazardous Waste,Which element is the primary component of the organic portion of municipal solid waste?,Carbon
1053,Solid & Hazardous Waste,What is the term for the liquid that drains or leaches from a landfill?,Leachate
1054,Environmental Chemistry,"In combustion, what gas is produced by the incomplete oxidation of carbon?",Carbon monoxide
1055,Fundamental Principles,What is the term for the mass of a substance per unit volume?,Density
1056,Energy & Environment,Which thermodynamic property is defined as internal energy plus the product of pressure and volume?,Enthalpy
1057,Environmental Chemistry,What is the term for the heat absorbed or released during a phase change at constant temperature?,Latent heat
1058,Air Quality & Control,"In air dispersion, what does ""plume rise"" account for?",Buoyancy and momentum of the exhaust gas
1059,Environmental Chemistry,What is the standard atmospheric pressure at sea level in psi?,14.7 psi
1060,Fundamental Principles,Which device is used to remove gaseous pollutants by absorption into a liquid?,Wet scrubber
1061,Fundamental Principles,What is the term for the ratio of shear stress to shear rate in a fluid?,Viscosity
1062,Fundamental Principles,"In a chemical equation, what do the coefficients represent?",The number of moles
1063,Fundamental Principles,What is the term for the measure of a water's ability to neutralize acids?,Alkalinity
1064,Energy & Environment,Which type of energy is associated with the motion of an object?,Kinetic energy
1065,Fundamental Principles,What is the term for the settling velocity of a discrete particle in a fluid?,Terminal velocity
1066,Solid & Hazardous Waste,"In hazardous waste management, what does ""cradle-to-grave"" refer to?",Lifecycle assessment from creation to disposal
1067,Air Quality & Control,What is the primary purpose of an electrostatic precipitator?,To remove particulate matter using electrical charge
1068,Environmental Chemistry,Which gas law relates the volume of a gas to its temperature at constant pressure?,Charles's Law
1069,Environmental Chemistry,What is the term for the amount of oxygen required to chemically oxidize organic matter in water?,COD (Chemical Oxygen Demand)
1070,Thermodynamics,"In thermodynamics, what is an ""isothermal"" process?",A process at constant temperature
1071,Fundamental Principles,What is the term for the distinct layers of fluid with different densities that do not mix?,Stratification
1072,Environmental Chemistry,Which compound is formed when sulfur dioxide reacts with oxygen and water in the atmosphere?,Sulfuric acid
1073,Air Quality & Control,What is the term for the fraction of total light blocked by a plume of smoke?,Opacity
1074,Fundamental Principles,"In combustion, what is ""flue gas""?",Gas exiting a combustion chamber
1075,Energy & Environment,What is the term for the energy possessed by an object due to its position?,Potential energy
1076,Environmental Chemistry,Which principle states that energy can change forms but the total amount remains constant?,First Law of Thermodynamics
1077,Thermodynamics,What is the term for the theoretical temperature reached during adiabatic combustion?,Adiabatic flame temperature
1078,Water & Wastewater,"In water treatment, what is ""hardness"" primarily caused by?",Calcium and Magnesium ions
1079,Fundamental Principles,What is the term for the ratio of the mass of a substance to the mass of an equal volume of water?,Specific gravity
1080,Probability & Statistics,Which thermodynamic cycle is typically used to model gas turbine engines?,Brayton cycle
1081,Fundamental Principles,What is the term for the random movement of particles suspended in a fluid?,Brownian motion
1082,Air Quality & Control,"In air quality, what does the stability class of the atmosphere characterize?",Atmospheric turbulence
1083,Fundamental Principles,What is the term for the process of converting a liquid into a vapor?,Evaporation
1084,Thermodynamics,Which law describes the rate of heat transfer by conduction?,Fourier's Law
1085,Fundamental Principles,What is the term for the ratio of the actual water vapor pressure to the saturation vapor pressure?,Relative humidity
1086,Environmental Chemistry,"In stoichiometry, what is the term for the mass of one mole of a substance?",Molar mass
1087,Air Quality & Control,What is the term for the vertical movement of air due to density differences?,Convection
1088,Fundamental Principles,"In fluid mechanics, what is the term for the height of a fluid column corresponding to a given pressure?",Pressure head
1089,Environmental Chemistry,What is the term for the chemical reaction between an acid and a base?,Neutralization
1090,Solid & Hazardous Waste,"In incineration, what does the term ""burnout"" refer to?",Complete combustion of the fuel
1091,Fundamental Principles,What is the term for the quantity of heat required to change a unit mass from solid to liquid?,Latent heat of fusion
1092,Fundamental Principles,Which property describes a material's ability to conduct heat?,Thermal conductivity
1093,Fundamental Principles,"In a solution, what is the component present in the largest amount called?",Solvent
1094,Environmental Chemistry,What is the term for the ratio of the specific heat at constant pressure to the specific heat at constant volume?,Specific heat ratio
1095,Fundamental Principles,"In combustion, what does the presence of ""black smoke"" typically indicate?",Incomplete combustion
1096,Environmental Chemistry,What is the term for the minimum energy required to start a chemical reaction?,Activation energy
1097,Energy & Environment,"In fluid flow, what is the term for the loss of energy due to friction?",Head loss
1098,Fundamental Principles,What is the term for the process where a solid turns directly into a gas?,Sublimation
1099,Fundamental Principles,Which law states that the rate of diffusion is proportional to the concentration gradient?,Fick's Law
1100,Environmental Chemistry,"In water chemistry, what is the term for a solution that resists changes in pH?",Buffer
1101,Fundamental Principles,What is the term for the weight of a unit volume of a substance?,Specific weight
1102,Fundamental Principles,"In combustion, what represents the difference between the Higher Heating Value and the Lower Heating Value?",Latent heat of water vaporization
1103,Fluid Mechanics & Hydraulics,What is the term for the point where a fluid changes from laminar to turbulent flow?,Critical Reynolds number
1104,Fundamental Principles,"In thermodynamics, what is a ""closed system""?",A system where mass cannot cross the boundary
1105,Fundamental Principles,What is the term for the maximum amount of work that can be extracted from a system?,Availability or Exergy
1106,Air Quality & Control,"In air pollution, what does ""lapse rate"" refer to?",Change in temperature with altitude
1107,Fundamental Principles,What is the term for the volume occupied by one mole of a gas at standard temperature and pressure?,Molar volume
1108,Environmental Chemistry,"In a chemical reaction, what is the term for a substance that increases the rate without being consumed?",Catalyst
1109,Surface Water Resources & Hydrology,What does the area under a stream hydrograph curve primarily represent?,The total volume of direct runoff produced by a storm event
1110,Surface Water Resources & Hydrology,"In the context of the hydrological cycle, what is the definition of a watershed divide?",The topographic boundary separating two adjacent drainage basins
1111,Surface Water Resources & Hydrology,What assumption about rainfall duration is made when using a unit hydrograph?,The effective rainfall occurs uniformly over the drainage area for a specified duration
1112,Fundamental Principles,"In a water budget equation, what does the term ΔS represent?",The change in storage within the control volume over a specific time period
1113,Surface Water Resources & Hydrology,What is the primary source of baseflow in a river hydrograph?,Groundwater inflow or release from bank storage
1114,Surface Water Resources & Hydrology,How does urbanization generally affect the shape of a storm hydrograph?,It increases the peak flow rate and decreases the time to peak
1115,Groundwater/Soils/Sediments,What is defined as the maximum rate at which soil can absorb precipitation?,Infiltration capacity
1116,Probability & Statistics,What does a return period of 100 years imply about a flood event's probability?,There is a 1% probability of that magnitude event occurring in any given year
1117,Fundamental Principles,"In groundwater hydrology, what is the ""cone of depression""?",The drawdown of the water table or piezometric surface around a pumping well
1118,Groundwater/Soils/Sediments,What is the difference between an unconfined and a confined aquifer?,An unconfined aquifer has a water table; a confined aquifer is bounded by impermeable layers
1119,Fluid Mechanics & Hydraulics,What parameter in Darcy's Law represents the ease of water flow through porous media?,Hydraulic conductivity (or permeability)
1120,Groundwater/Soils/Sediments,"What does the term ""specific yield"" measure in an unconfined aquifer?",The volume of water that drains from an aquifer by gravity per unit surface area
1121,Fluid Mechanics & Hydraulics,"In fluid mechanics, what does the Reynolds number represent the ratio of?",Inertial forces to viscous forces
1122,Fluid Mechanics & Hydraulics,What condition exists in an open channel when the Froude number is exactly 1.0?,Critical flow
1123,Environmental Chemistry,What phenomenon occurs when supercritical flow transitions suddenly to subcritical flow?,"A hydraulic jump, which dissipates significant energy"
1124,Fluid Mechanics & Hydraulics,"In the Bernoulli equation, what are the three forms of energy head?","Pressure head, elevation head, and velocity head"
1125,Fluid Mechanics & Hydraulics,"What is the primary cause of ""head loss"" in a pipe system?",Friction between the fluid and the pipe walls and turbulence
1126,Energy & Environment,What does the hydraulic grade line (HGL) represent relative to the energy grade line (EGL)?,The EGL is above the HGL by an amount equal to the velocity head (V²/2g)
1127,Fluid Mechanics & Hydraulics,"What is the ""wetted perimeter"" of an open channel?",The length of the channel cross-section boundary that is in contact with the fluid
1128,Fundamental Principles,"In a mass balance analysis, what is the rate of accumulation under steady-state conditions?",Zero
1129,Fundamental Principles,"What characterizes a ""conservative"" pollutant in a material balance?","It does not decay, react, or degrade within the system"
1130,Fundamental Principles,What is the difference between a CSTR (Continuously Stirred Tank Reactor) and a PFR (Plug Flow Reactor) regarding mixing?,"A CSTR assumes instant, complete mixing; a PFR assumes no longitudinal mixing"
1131,Water & Wastewater,"In water chemistry, what does ""alkalinity"" measure?",The water's capacity to neutralize acids (acid-neutralizing capacity)
1132,Water & Wastewater,What two cations are primarily responsible for water hardness?,Calcium (Ca²⁺) and Magnesium (Mg²⁺)
1133,Water & Wastewater,What does Biochemical Oxygen Demand (BOD) measure in wastewater?,The amount of oxygen consumed by microorganisms to oxidize organic matter
1134,Fundamental Principles,"In a Dissolved Oxygen (DO) sag curve, what is the ""critical point""?",The location downstream where the dissolved oxygen concentration is at its minimum
1135,Water & Wastewater,What reaction order is typically assumed for the decay of organic matter (BOD)?,First-order kinetics
1136,Fundamental Principles,What is the primary mechanism of pollutant removal in a grit chamber?,Differential sedimentation (velocity control) to settle dense inorganic particles
1137,Fundamental Principles,"What is the main purpose of ""flow equalization"" in a wastewater treatment plant?",To dampen variations in flow rate and organic loading to improve downstream process stability
1138,Water & Wastewater,"In primary sedimentation, what type of solids are primarily removed?",Settleable organic and inorganic suspended solids
1139,Water & Wastewater,"What is ""mixed liquor"" in the context of the activated sludge process?",The mixture of wastewater and active biomass (microorganisms) in the aeration tank
1140,Water & Wastewater,What is the function of the secondary clarifier in an activated sludge system?,To separate the biological solids (biomass) from the treated effluent via gravity settling
1141,Water & Wastewater,What is the purpose of returning activated sludge (RAS) to the aeration tank?,To maintain a sufficient population of active microorganisms in the aeration tank
1142,Water & Wastewater,"In a trickling filter, what performs the actual treatment of the wastewater?",The biofilm (slime layer) attached to the media surface
1143,Fundamental Principles,What does the Food-to-Microorganism (F/M) ratio control in biological treatment?,The relative amount of substrate (organic load) available to the biomass population
1144,Water & Wastewater,What is the primary byproduct of anaerobic sludge digestion that can be recovered as energy?,Methane gas (CH₄)
1145,Fundamental Principles,"What is the definition of ""tertiary treatment"" in wastewater processing?","Processes designed to remove residual nutrients (N, P) and suspended solids after secondary treatment"
1146,Water & Wastewater,"What is the purpose of a ""chlorine contact tank""?",To provide sufficient time for the disinfectant to inactivate pathogens (CT value)
1147,Water & Wastewater,"What distinguishes ""type I sedimentation"" from ""type II sedimentation""?",Type I is discrete particle settling; Type II involves flocculating particles that change size
1148,Solid & Hazardous Waste,"What is ""leachate"" in the context of solid waste management?",Liquid that has percolated through solid waste and extracted dissolved or suspended materials
1149,Solid & Hazardous Waste,What is the primary purpose of a landfill liner system?,To prevent leachate from migrating into and contaminating the underlying groundwater
1150,Air Quality & Control,"In air pollution control, what force does a cyclone separator use to remove particulates?",Centrifugal force
1151,Health Hazards & Risk Assessment,"What is the ""vadose zone"" in subsurface hydrology?",The unsaturated zone above the water table where pores contain both air and water
1152,Probability & Statistics,"What is the definition of ""porosity"" in a soil or rock sample?",The ratio of the volume of voids to the total volume of the material
1153,Fundamental Principles,"What is ""evapotranspiration""?",The combined loss of water to the atmosphere via evaporation from soil and transpiration from plants
1154,Water & Wastewater,"In a water treatment plant, what is the purpose of coagulation and flocculation?",To destabilize colloidal particles so they can aggregate into larger flocs for settling
1155,Fundamental Principles,"What does the term ""hydraulic retention time"" (HRT) represent?",The average time a fluid element remains within a reactor or tank (V/Q)
1156,Water & Wastewater,What is the main difference between BOD and COD (Chemical Oxygen Demand)?,BOD measures biodegradable organics; COD measures all chemically oxidizable organics
1157,Fundamental Principles,"What is ""head"" in the context of fluid mechanics?",Energy per unit weight of the fluid (typically expressed in units of length)
1158,Fundamental Principles,What effect does increasing the roughness coefficient (n) have in Manning's equation?,"It increases the resistance to flow, thereby reducing the velocity for a given slope and depth"
1159,Fundamental Principles,"In a water budget equation, what represents the change in storage within a system?",The difference between mass inflow and mass outflow
1160,Surface Water Resources & Hydrology,What does a hydrograph plot on the vertical and horizontal axes?,Flow rate (discharge) versus time
1161,Surface Water Resources & Hydrology,"In the context of the unit hydrograph, what does the ""unit"" typically refer to?",One inch (or unit depth) of direct runoff over the drainage area
1162,Surface Water Resources & Hydrology,What is the primary source of baseflow in a stream hydrograph?,Groundwater inflow that sustains streamflow during dry periods
1163,Surface Water Resources & Hydrology,"In the Rational Method for estimating peak runoff (Q=CIA), what does the coefficient C represent?","The ratio of runoff to rainfall, representing surface impermeability"
1164,Surface Water Resources & Hydrology,How does urbanization generally affect the time of concentration for a watershed?,"It decreases the time of concentration, causing faster runoff"
1165,Probability & Statistics,"What is the definition of a ""100-year storm"" in terms of probability?",A storm having a 1% probability of being equaled or exceeded in any given year
1166,Groundwater/Soils/Sediments,What process describes the movement of water from the land surface into the soil profile?,Infiltration
1167,Groundwater/Soils/Sediments,What is the difference between an unconfined and a confined aquifer?,An unconfined aquifer has a water table; a confined aquifer is sandwiched between impermeable layers
1168,Fundamental Principles,"In groundwater flow, what does the hydraulic gradient represent?",The change in hydraulic head per unit distance (dh/dL)
1169,Fundamental Principles,What is the primary purpose of a grit chamber in a wastewater treatment plant?,To remove heavy inorganic solids like sand and gravel to protect downstream equipment
1170,Water & Wastewater,"In a sedimentation tank, what design parameter is defined as flow rate divided by surface area?",Surface overflow rate (or surface loading rate)
1171,Water & Wastewater,What is the main objective of the activated sludge process?,To oxidize biological matter using microorganisms and oxygen
1172,Fundamental Principles,What does the Food-to-Microorganism (F/M) ratio control in biological wastewater treatment?,The relative amount of organic load applied to the biomass mass
1173,Water & Wastewater,What happens to the sludge age (SRT) if the wasting rate of sludge is increased?,The sludge age decreases
1174,Water & Wastewater,What is the difference between coagulation and flocculation?,Coagulation neutralizes charges; flocculation agglomerates particles into settleable flocs
1175,Water & Wastewater,What is the primary mechanism of disinfection when using chlorine?,Oxidation of cellular material and inactivation of enzymes
1176,Fundamental Principles,"What does ""short-circuiting"" refer to in a treatment tank?",Water exiting a tank faster than the theoretical detention time due to poor mixing
1177,Water & Wastewater,What is the difference between biochemical oxygen demand (BOD) and chemical oxygen demand (COD)?,BOD measures biodegradable organics; COD measures all oxidizable matter
1178,Water & Wastewater,What is the purpose of a trickling filter in wastewater treatment?,To provide surface area for biofilm growth to degrade organics
1179,Fundamental Principles,"In a mass balance analysis, what defines a ""steady-state"" condition?",The rate of accumulation within the control volume is zero
1180,Fundamental Principles,"What constitutes a ""conservative"" pollutant in a material balance?","A substance that does not decay, react, or degrade within the system"
1181,Water & Wastewater,"How is ""alkalinity"" defined in water chemistry?",The capacity of water to neutralize acids
1182,Water & Wastewater,What two primary cations are responsible for water hardness?,Calcium (Ca²⁺) and Magnesium (Mg²⁺)
1183,Environmental Chemistry,What does the pH scale measure?,The negative logarithm of the hydrogen ion concentration
1184,Environmental Chemistry,What distinguishes a zero-order reaction from a first-order reaction?,Zero-order rate is constant; first-order rate depends on concentration
1185,Environmental Chemistry,"What is the ""common ion effect"" in solubility equilibrium?",Reduced solubility of a salt when a common ion is added
1186,Environmental Chemistry,"In a redox reaction, what happens to the electron donor?",The electron donor loses electrons (is oxidized)
1187,Fundamental Principles,What is the definition of a buffer solution?,A solution that resists changes in pH
1188,Environmental Chemistry,What does Henry's Law describe regarding gas-liquid equilibrium?,The solubility of a gas is proportional to its partial pressure
1189,Fluid Mechanics & Hydraulics,"In the Bernoulli equation, what are the three components of total energy head?","Pressure head, elevation head, and velocity head"
1190,Probability & Statistics,What is the physical meaning of the Reynolds number?,The ratio of inertial forces to viscous forces
1191,Energy & Environment,What is the difference between the Energy Grade Line (EGL) and the Hydraulic Grade Line (HGL)?,The EGL is above the HGL by an amount equal to the velocity head
1192,Fluid Mechanics & Hydraulics,"What causes ""major losses"" in pipe flow?",Friction between the fluid and the pipe walls
1193,Fluid Mechanics & Hydraulics,What does a Froude number greater than 1.0 indicate in open channel flow?,Supercritical flow
1194,Fluid Mechanics & Hydraulics,"What is the definition of ""critical depth"" in open channel flow?",The depth at which specific energy is minimized
1195,Fundamental Principles,"What is the ""wetted perimeter"" of a channel?",The length of channel boundary in contact with water
1196,Fluid Mechanics & Hydraulics,"In Darcy's Law, what does the parameter K represent?",Hydraulic conductivity
1197,Groundwater/Soils/Sediments,"What is the ""cone of depression"" in well hydraulics?",The drawdown of the water table around a pumping well
1198,Fundamental Principles,What is the difference between static pressure and dynamic pressure?,Static pressure is due to fluid at rest; dynamic is due to motion
1199,Fundamental Principles,"What does the ""time of concentration"" represent in hydrology?",The time for runoff to travel from the most remote point to the outlet
1200,Surface Water Resources & Hydrology,"What is ""effective rainfall"" in the context of a hydrograph?",Rainfall that becomes direct runoff after losses
1201,Water & Wastewater,What is the main byproduct of anaerobic digestion of sludge?,Methane gas
1202,Health Hazards & Risk Assessment,"What is the ""vadose zone"" in subsurface hydrology?",The unsaturated zone above the water table
1203,Fundamental Principles,"What does the term ""mixed liquor suspended solids"" (MLSS) refer to?",The concentration of active biomass in the aeration tank
1204,Fluid Mechanics & Hydraulics,"What is ""head loss"" in a fluid system primarily converted into?",Thermal energy due to friction
1205,Probability & Statistics,"What is the definition of ""porosity"" in a soil sample?",The ratio of void volume to total volume
1206,Surface Water Resources & Hydrology,What is the difference between evaporation and transpiration?,Evaporation from surfaces; transpiration from plants
1207,Mathematics,"What does a ""limiting nutrient"" refer to in an aquatic ecosystem?",The nutrient in shortest supply limiting growth
1208,Fundamental Principles,What is the purpose of tertiary wastewater treatment?,"To remove residual nutrients, solids, or pathogens"
1209,Surface Water Resources & Hydrology,What does the area under a stream hydrograph curve represent regarding the watershed?,The total volume of direct runoff
1210,Surface Water Resources & Hydrology,"In the Rational Method (Q=CIA), what does the coefficient C account for?",Land use and surface permeability
1211,Surface Water Resources & Hydrology,What is the primary difference between a unit hydrograph and a standard storm hydrograph?,Unit response to one unit of rainfall excess
1212,Fundamental Principles,"In a hydrologic water budget, what does the term ""baseflow"" typically refer to?",Groundwater contribution to streamflow
1213,Surface Water Resources & Hydrology,How does urbanization generally alter the peak discharge and time to peak of a hydrograph?,Higher peak and shorter time to peak
1214,Probability & Statistics,"What is the physical meaning of ""time of concentration"" in a watershed?",Travel time from hydraulically remote point
1215,Water & Wastewater,"When using Horton’s equation for infiltration, what happens to the infiltration capacity over time during a storm?",It decreases exponentially to a constant rate
1216,Fundamental Principles,"In groundwater hydrology, what does the ""cone of depression"" describe?",Water table drawdown around a well
1217,Probability & Statistics,"What is the definition of a ""100-year storm"" in terms of probability?",1% annual exceedance probability
1218,Groundwater/Soils/Sediments,What distinguishes an unconfined aquifer from a confined aquifer?,Presence or absence of a water table
1219,Fundamental Principles,What is the primary purpose of a grit chamber in a wastewater treatment plant?,Removal of heavy inorganic solids
1220,Water & Wastewater,"In the activated sludge process, what does the Food-to-Microorganism (F/M) ratio control?",Balance of organic loading and biomass
1221,Water & Wastewater,What is the main function of the secondary clarifier in a biological treatment system?,Gravity separation of biomass
1222,Fundamental Principles,Why is flow equalization often used before biological treatment processes?,Flow stabilization
1223,Water & Wastewater,What is the primary mechanism of pollutant removal in a trickling filter?,Biofilm degradation on media
1224,Probability & Statistics,How does increasing the Mean Cell Residence Time (MCRT) or sludge age generally affect sludge production?,Reduced sludge production
1225,Water & Wastewater,What is the difference between disinfection and sterilization in water treatment?,Disinfection reduces pathogens; sterilization eliminates all life
1226,Fundamental Principles,"What is the role of the ""mixed liquor suspended solids"" (MLSS) in an aeration tank?",Active microorganisms
1227,Fundamental Principles,"In anaerobic digestion, what are the two primary gaseous end-products?",Methane and carbon dioxide
1228,Fundamental Principles,"What is the purpose of ""tertiary treatment"" in wastewater facilities?",Advanced post-secondary treatment
1229,Fundamental Principles,"In a mass balance analysis, what defines a ""steady-state"" system?",Zero accumulation
1230,Fundamental Principles,"What characterizes a ""conservative"" substance in a material balance equation?",No reaction or decay
1231,Fundamental Principles,"According to Henry’s Law, what determines the concentration of a dissolved gas in a liquid?",Partial pressure of the gas
1232,Fundamental Principles,"What is the ""common ion effect"" regarding the solubility of a salt?",Decreased solubility due to shared ions
1233,Environmental Chemistry,"In an oxidation-reduction (redox) reaction, what happens to the electron donor?",Oxidation of donor
1234,Water & Wastewater,"What does ""alkalinity"" specifically measure in an aqueous system?",Acid-neutralizing capacity
1235,Environmental Chemistry,What distinguishing feature separates a zero-order reaction from a first-order reaction?,Rate dependence on concentration
1236,Water & Wastewater,"In water softening, what two cations are primarily responsible for hardness?",Calcium and magnesium
1237,Fundamental Principles,What is the definition of a buffer solution?,pH-stabilizing solution
1238,Fundamental Principles,How does temperature generally affect the solubility of gases like oxygen in water?,Gas solubility decreases with temperature
1239,Fluid Mechanics & Hydraulics,"In the Bernoulli equation, what are the three components of total energy head?","Pressure, elevation, and velocity head"
1240,Fluid Mechanics & Hydraulics,What does the Reynolds number represent the ratio of?,Inertial to viscous forces
1241,Energy & Environment,What is the difference between the Energy Grade Line (EGL) and the Hydraulic Grade Line (HGL)?,Velocity head difference
1242,Fluid Mechanics & Hydraulics,"In open channel flow, what phenomenon occurs when flow transitions from supercritical to subcritical?",Hydraulic jump
1243,Fluid Mechanics & Hydraulics,"What is the primary cause of ""major head loss"" in a pipe system?",Pipe wall friction
1244,Fundamental Principles,What does a Froude number greater than 1.0 indicate about the flow regime?,Supercritical flow
1245,Fluid Mechanics & Hydraulics,"In Darcy’s Law, what parameter represents the ease with which water moves through porous media?",Hydraulic conductivity
1246,Fluid Mechanics & Hydraulics,"What is the ""wetted perimeter"" of an open channel?",Channel boundary in contact with water
1247,Fluid Mechanics & Hydraulics,"What condition must exist for ""cavitation"" to occur in a pump or pipe?",Pressure below vapor pressure
1248,Fluid Mechanics & Hydraulics,"What does the ""weir loading rate"" determine in a sedimentation tank design?",Flow per unit weir length
1249,Health Hazards & Risk Assessment,"What is the ""vadose zone"" in subsurface hydrology?",Unsaturated zone
1250,Fundamental Principles,"In the context of the oxygen sag curve, where does the minimum dissolved oxygen concentration occur?",Critical DO sag point
1251,Water & Wastewater,What is the primary mechanism of coagulation in water treatment?,Charge neutralization of colloids
1252,Fundamental Principles,"What does ""short-circuiting"" refer to in the context of a settling tank or reactor?",Premature flow bypass
1253,Probability & Statistics,"What is the definition of ""porosity"" in a soil sample?",Void volume ratio
1254,Surface Water Resources & Hydrology,"How is ""effective rainfall"" defined in the context of runoff generation?",Runoff-producing rainfall
1255,Water & Wastewater,What is the main advantage of using UV radiation over chlorine for disinfection?,No chlorinated DBPs
